"testsubject" "set" "activity" "means" "stdevs$sd"
1 "train" "STANDING" -0.741101456163636 2973.20954525577
1 "train" "STANDING" -0.746711678362121 2973.20954525577
1 "train" "STANDING" -0.749151939866667 2973.20954525577
1 "train" "STANDING" -0.751463429306061 2973.20954525577
1 "train" "STANDING" -0.751506147257576 2973.20954525577
1 "train" "STANDING" -0.751760120536364 2973.20954525577
1 "train" "STANDING" -0.749208730924242 2973.20954525577
1 "train" "STANDING" -0.748296217719697 2973.20954525577
1 "train" "STANDING" -0.749515259969697 2973.20954525577
1 "train" "STANDING" -0.747212200942424 2973.20954525577
1 "train" "STANDING" -0.747001780589394 2973.20954525577
1 "train" "STANDING" -0.754711820219697 2973.20954525577
1 "train" "STANDING" -0.755231940779242 2973.20954525577
1 "train" "STANDING" -0.755335229666667 2973.20954525577
1 "train" "STANDING" -0.715331045375758 2973.20954525577
1 "train" "STANDING" -0.748606190177273 2973.20954525577
1 "train" "STANDING" -0.753493238775758 2973.20954525577
1 "train" "STANDING" -0.755471162378788 2973.20954525577
1 "train" "STANDING" -0.758777586089394 2973.20954525577
1 "train" "STANDING" -0.75932760454697 2973.20954525577
1 "train" "STANDING" -0.759465772330303 2973.20954525577
1 "train" "STANDING" -0.758858682618182 2973.20954525577
1 "train" "STANDING" -0.758299609389394 2973.20954525577
1 "train" "STANDING" -0.758084127609061 2973.20954525577
1 "train" "STANDING" -0.757786607639849 2973.20954525577
1 "train" "STANDING" -0.757211961707576 2973.20954525577
1 "train" "STANDING" -0.758451178998485 2973.20954525577
1 "train" "SITTING" -0.599472254833333 2973.20954525577
1 "train" "SITTING" -0.727793499124242 2973.20954525577
1 "train" "SITTING" -0.736409415651515 2973.20954525577
1 "train" "SITTING" -0.55062154369697 2973.20954525577
1 "train" "SITTING" -0.521413214765152 2973.20954525577
1 "train" "SITTING" -0.606962542295455 2973.20954525577
1 "train" "SITTING" -0.717777525589394 2973.20954525577
